Symbol,Date,Open,High,Low,Close,Volume
A,25-Sep-2020,95.96,98.135,95.77,97.69,1028600
AA,25-Sep-2020,11.5,11.7573,11.3,11.55,6190400
AAA,25-Sep-2020,24.99,25,24.97,24.98,115400
AAAU,25-Sep-2020,18.52,18.6,18.46,18.57,481200
AACG,25-Sep-2020,1.06,1.11,1.06,1.1,33900
AACQ,25-Sep-2020,9.97,9.97,9.87,9.88,367100
AACQU,25-Sep-2020,10.29,10.4,10.29,10.35,3200
AACQW,25-Sep-2020,1.44,1.5099,1.4,1.4599,32500
AADR,25-Sep-2020,53.47,54.2768,53.47,54.2768,2900
AAL,25-Sep-2020,11.76,12.31,11.71,12.29,43763900
AAMC,25-Sep-2020,20.5,21,20.5,21,900
AAME,25-Sep-2020,2.06,2.06,2.06,2.06,500
AAN,25-Sep-2020,53.79,55.96,53.4,55.68,479900
AAOI,25-Sep-2020,10.38,10.77,10.3,10.73,275500
AAON,25-Sep-2020,57.02,57.7899,56.745,57.43,121200
AAP,25-Sep-2020,146.33,150.4,146.26,149.41,778600
AAPL,25-Sep-2020,108.43,112.44,107.67,112.28,149981400
AAT,25-Sep-2020,23.01,23.4,22.94,23.39,310800
AAU,25-Sep-2020,0.8215,0.87,0.82,0.8663,329300
AAWW,25-Sep-2020,60.51,61.79,60.15,60.24,343400
AAXJ,25-Sep-2020,74.42,75.04,73.96,74.95,625000
AAXN,25-Sep-2020,85.25,87.38,84.58,87.2,439600
AB,25-Sep-2020,26.6,27.55,26.52,27.38,314200
ABB,25-Sep-2020,24.83,25.17,24.76,25.09,1076800
ABBV,25-Sep-2020,86,86.86,85.46,86.23,9935500
ABC,25-Sep-2020,94.2,97.07,94.2,96.8,822000
ABCB,25-Sep-2020,21.22,22.02,21.22,21.91,402300
ABEO,25-Sep-2020,1.96,1.9928,1.85,1.86,625500
ABEQ,25-Sep-2020,22.92,23.19,22.9,23.19,3300
ABEV,25-Sep-2020,2.29,2.34,2.25,2.33,17736000
ABG,25-Sep-2020,92.96,93.86,91.65,93.14,273400
ABIO,25-Sep-2020,4.16,4.5499,4.16,4.49,677400
ABM,25-Sep-2020,36.42,37.26,36.42,36.85,507300
ABMD,25-Sep-2020,261.37,268.51,259.474,266.44,224300
ABR,25-Sep-2020,11.11,11.64,11.11,11.62,652300
ABR-A,25-Sep-2020,25.1345,25.1345,25.1345,25.1345,200
ABR-B,25-Sep-2020,25.09,25.12,25.09,25.12,400
ABR-C,25-Sep-2020,25.4,25.507,25.4,25.4999,2400
ABT,25-Sep-2020,100.56,103.61,100.34,103.45,5060300
ABTX,25-Sep-2020,21.84,22.22,21.84,22.03,43200
ABUS,25-Sep-2020,2.93,3.14,2.93,3.08,1092700
AC,25-Sep-2020,34.96,36.1,34.95,35.63,11900
ACA,25-Sep-2020,42.85,43.655,42.71,43.38,169400
ACAD,25-Sep-2020,38.73,40.51,38.65,40.18,822000
ACAM,25-Sep-2020,10.25,10.29,10.19,10.19,35900
ACAMW,25-Sep-2020,1.13,1.13,1.0201,1.0499,34500
ACB,25-Sep-2020,5.29,5.29,4.92,5.05,9466600
ACBI,25-Sep-2020,10.52,10.7,10.48,10.62,66200
ACC,25-Sep-2020,33.24,33.895,33,33.89,1180400
ACCD,25-Sep-2020,33.05,34.9,32.37,34.32,176400
ACCO,25-Sep-2020,5.77,6.03,5.75,5.96,924400
ACEL,25-Sep-2020,10.66,11.17,10.51,10.62,500900
ACER,25-Sep-2020,2.331,2.59,2.331,2.54,75100
ACES,25-Sep-2020,49.5,51.5113,49.5,51.45,31600
ACET,25-Sep-2020,10.69,11.4036,10.69,11.08,132100
ACEV,25-Sep-2020,9.805,9.805,9.75,9.78,10200
ACEVU,25-Sep-2020,10.15,10.15,10.14,10.14,6900
ACEVW,25-Sep-2020,0.9,1,0.801,0.9,12200
ACGL,25-Sep-2020,27.78,28.5139,27.765,28.45,1647900
ACGLO,25-Sep-2020,25.79,26.22,25.79,26.13,15100
ACGLP,25-Sep-2020,25.06,25.5907,25.06,25.59,28800
ACH,25-Sep-2020,5.02,5.08,5,5.07,222600
ACHC,25-Sep-2020,27.21,28.36,27.21,28.26,233700
ACHV,25-Sep-2020,8.6,9.33,8.26,9.16,90500
ACI,25-Sep-2020,13.51,13.56,13.3,13.55,1741800
ACIA,25-Sep-2020,67.9,68.09,67.74,67.74,504800
ACIO,25-Sep-2020,26.1,26.36,26.07,26.34,25200
ACIU,25-Sep-2020,4.95,4.99,4.7,4.785,690700
ACIW,25-Sep-2020,24.88,25.51,24.88,25.24,893600
ACLS,25-Sep-2020,21.81,21.9,21.27,21.52,274000
ACM,25-Sep-2020,38.58,39.6,38.48,39.4,1015900
ACMR,25-Sep-2020,68.99,70.07,67.5,69.86,168500
ACN,25-Sep-2020,213.03,215.065,210.42,214.63,3691100
ACN.U,25-Sep-2020,10.49,10.49,10.49,10.49,100
ACN.W,25-Sep-2020,1.44,1.44,1.44,1.44,2000
ACNB,25-Sep-2020,19.89,20.9,19.89,20.25,16600
ACND,25-Sep-2020,9.91,9.91,9.8301,9.91,2300
ACOR,25-Sep-2020,0.4797,0.855,0.47,0.615,94850100
ACP,25-Sep-2020,9.55,9.6266,9.55,9.59,86300
ACRE,25-Sep-2020,9.26,9.65,9.26,9.6,184200
ACRS,25-Sep-2020,2.42,2.51,2.323,2.46,195900
ACRX,25-Sep-2020,1.43,1.56,1.43,1.49,1304200
ACSG,25-Sep-2020,27.0168,27.0168,27.0168,27.0168,100
ACSI,25-Sep-2020,36.6447,36.6447,36.6447,36.6447,100
ACST,25-Sep-2020,0.2136,0.2199,0.2031,0.219,4007100
ACT,25-Sep-2020,25.54,25.64,25.52,25.64,1000
ACTCU,25-Sep-2020,10.02,10.02,9.9885,10.02,835000
ACTG,25-Sep-2020,3.38,3.4724,3.35,3.38,122400
ACU,25-Sep-2020,22.04,22.68,22.04,22.54,2200
ACV,25-Sep-2020,24.57,25.04,24.57,24.94,46100
ACWF,25-Sep-2020,28.74,29.1692,28.74,29.1692,1700
ACWI,25-Sep-2020,77.37,78.7,77.12,78.59,5299700
ACWV,25-Sep-2020,89.59,90.6,89.3,90.57,269000
ACWX,25-Sep-2020,44.86,45.39,44.71,45.36,1013200
ACY,25-Sep-2020,1.6,1.76,1.6,1.6401,7800
ADAP,25-Sep-2020,7.78,7.915,7.52,7.87,913300
ADBE,25-Sep-2020,469.23,481.58,466.01,479.78,2541100
ADC,25-Sep-2020,62.09,63.02,62.04,62.48,668700
ADCT,25-Sep-2020,34,34.57,33.1622,33.58,225500
ADES,25-Sep-2020,4.02,4.15,3.995,4.01,124500
ADFI,25-Sep-2020,9.965,9.965,9.965,9.965,0
ADI,25-Sep-2020,111.77,113.66,110.66,113.48,2293600
ADIL,25-Sep-2020,1.27,1.39,1.2,1.21,1044900
ADILW,25-Sep-2020,0.3,0.3,0.3,0.3,1200
ADM,25-Sep-2020,45.13,46.13,45.04,46.08,1993100
ADMA,25-Sep-2020,2.08,2.2,2.02,2.18,1858200
ADME,25-Sep-2020,32.805,33.1025,32.805,33.1025,2200
ADMP,25-Sep-2020,0.71,0.7682,0.705,0.7215,2432000
ADMS,25-Sep-2020,4.27,4.47,4.21,4.23,140000
ADNT,25-Sep-2020,16.09,16.46,15.99,16.07,854900
ADP,25-Sep-2020,129.23,134.94,129.23,134.54,2309900
ADPT,25-Sep-2020,45.8,48.495,45.45,48.29,967800
ADRE,25-Sep-2020,44.78,45.38,44.65,45.38,2400
ADRO,25-Sep-2020,2.27,2.39,2.24,2.34,188200
ADS,25-Sep-2020,41.79,42.95,41.61,42,1096700
ADSK,25-Sep-2020,221.18,228.97,219.92,227.8,1054900
ADSW,25-Sep-2020,30.12,30.21,30.12,30.19,741200
ADT,25-Sep-2020,8.19,8.41,8.16,8.17,6622000
ADTN,25-Sep-2020,9.79,10.37,9.77,9.93,130500
ADTX,25-Sep-2020,1.66,1.85,1.655,1.83,503000
ADUS,25-Sep-2020,89.88,93.42,89.88,93.15,85500
ADVM,25-Sep-2020,10.43,10.91,10.43,10.81,1663500
ADX,25-Sep-2020,15.6,15.9,15.53,15.87,130300
ADXS,25-Sep-2020,0.3517,0.399,0.34,0.3882,2615800
AE,25-Sep-2020,19.85,20.04,19.85,19.9,5800
AEB,25-Sep-2020,24.41,24.96,24.41,24.73,20000
AEE,25-Sep-2020,76.51,78.3,76.18,78.21,764600
AEF,25-Sep-2020,6.31,6.33,6.27,6.305,18000
AEFC,25-Sep-2020,25.6,25.6898,25.5501,25.61,257500
AEG,25-Sep-2020,2.37,2.39,2.34,2.37,2274900
AEGN,25-Sep-2020,13.74,14.04,13.71,13.93,67300
AEHR,25-Sep-2020,1.47,1.6782,1.4,1.53,950600
AEIS,25-Sep-2020,59.01,60.03,58.56,59.72,206100
AEL,25-Sep-2020,19.39,20.105,19.38,19.99,536100
AEL-A,25-Sep-2020,23.57,23.84,23.48,23.72,15300
AEL-B,25-Sep-2020,25.18,25.5,25.1509,25.1509,36700
AEM,25-Sep-2020,77,78.5,76.77,78.14,1142100
AEMD,25-Sep-2020,1.34,1.35,1.31,1.34,70800
AEO,25-Sep-2020,13.98,14.365,13.87,14.34,3960300
AEP,25-Sep-2020,80.31,80.89,79.81,80.65,3252500
AEP-B,25-Sep-2020,48.345,48.345,48.0546,48.24,11100
AEP-C,25-Sep-2020,48.25,48.9,48.25,48.787,65800
AER,25-Sep-2020,22.71,23.48,22.56,23.09,1538400
AERI,25-Sep-2020,11.68,11.75,11.055,11.21,587600
AES,25-Sep-2020,18.01,18.07,17.72,17.99,3652700
AESE,25-Sep-2020,1.38,1.385,1.32,1.38,540000
AESR,25-Sep-2020,10.57,10.6952,10.57,10.6952,1900
AEY,25-Sep-2020,1.9,1.93,1.88,1.9,79600
AEYE,25-Sep-2020,15.47,16.08,15.33,15.76,86600
AEZS,25-Sep-2020,0.3251,0.359,0.3251,0.3503,1385900
AFB,25-Sep-2020,13.77,13.77,13.68,13.715,40800
